Site,End_Date,Period,StatVar,value
dcid:geoId/02,2020-08-11,P5D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5
dcid:geoId/01,2020-08-13,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,192
dcid:geoId/05,2020-08-13,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,199
dcid:geoId/04,2020-08-11,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,24
dcid:geoId/06,2020-08-05,P6D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/08,2020-08-07,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,240
dcid:geoId/09,2020-08-03,P4D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,248
dcid:geoId/11,2020-08-13,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,49
dcid:geoId/10,2020-08-13,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,52
dcid:geoId/12,2020-08-03,P3D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/13,2020-08-11,P9D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,242
dcid:geoId/15,2020-08-11,P8D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1
dcid:geoId/19,2020-08-13,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,69
dcid:geoId/16,2020-08-11,P7D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,10
dcid:geoId/17,2020-08-10,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,244
dcid:geoId/18,2020-08-11,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,23
dcid:geoId/20,2020-08-08,P10D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,234
dcid:geoId/21,2020-08-13,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,240
dcid:geoId/22,2020-08-13,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/25,2020-08-10,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,242
dcid:geoId/24,2020-08-11,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,67
dcid:geoId/23,2020-08-11,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,26
dcid:geoId/26,2020-08-11,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,245
dcid:geoId/27,2020-08-13,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,142
dcid:geoId/29,2020-08-10,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,242
dcid:geoId/28,2020-08-13,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,37
dcid:geoId/30,2020-08-10,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,11
dcid:geoId/37,2020-08-10,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,197
dcid:geoId/38,2020-08-12,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5
dcid:geoId/31,2020-08-13,P16D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,152
dcid:geoId/33,2020-08-11,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,69
dcid:geoId/34,2020-08-11,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,210
dcid:geoId/35,2020-08-13,P15D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,156
dcid:geoId/32,2020-08-02,P3D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,243
dcid:geoId/36,2020-08-11,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,214
dcid:geoId/39,2020-08-11,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,85
dcid:geoId/40,2020-08-04,P7D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,243
dcid:geoId/41,2020-08-11,P6D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,86
dcid:geoId/42,2020-08-11,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9
dcid:geoId/72,2020-08-07,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,246
dcid:geoId/44,2020-08-11,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,20
dcid:geoId/45,2020-08-13,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,86
dcid:geoId/46,2020-08-12,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,0
dcid:geoId/47,2020-08-11,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,273
dcid:geoId/48,2020-08-05,P7D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,246
dcid:geoId/49,2020-08-11,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,36
dcid:geoId/51,2020-08-11,P11D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,23
dcid:geoId/50,2020-08-11,P12D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4
dcid:geoId/53,2020-08-11,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,189
dcid:geoId/55,2020-08-13,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,79
dcid:geoId/54,2020-08-13,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,9
dcid:geoId/56,2020-08-11,P13D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1
dcid:country/USA,2020-08-13,P17D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6700
dcid:geoId/02,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,20
dcid:geoId/01,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,187
dcid:geoId/05,2020-08-25,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,156
dcid:geoId/04,2020-08-26,P14D,dcs:Count_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,27
