Site,End_Date,Period,StatVar,value
dcid:geoId/02,2020-08-11,P5D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/01,2020-08-13,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,10.2
dcid:geoId/05,2020-08-13,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.0
dcid:geoId/04,2020-08-11,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/06,2020-08-05,P6D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.2
dcid:geoId/08,2020-08-07,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.3
dcid:geoId/09,2020-08-03,P4D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.9
dcid:geoId/11,2020-08-13,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/10,2020-08-13,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/12,2020-08-03,P3D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.8
dcid:geoId/13,2020-08-11,P9D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,8.6
dcid:geoId/15,2020-08-11,P8D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/19,2020-08-13,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/16,2020-08-11,P7D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/17,2020-08-10,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,5.1
dcid:geoId/18,2020-08-11,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/20,2020-08-08,P10D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,1.6
dcid:geoId/21,2020-08-13,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,4.1
dcid:geoId/22,2020-08-13,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,11.7
dcid:geoId/25,2020-08-10,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.2
dcid:geoId/24,2020-08-11,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/23,2020-08-11,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/26,2020-08-11,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.7
dcid:geoId/27,2020-08-13,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.7
dcid:geoId/29,2020-08-10,P13D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.2
dcid:geoId/28,2020-08-13,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/30,2020-08-10,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/37,2020-08-10,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,6.4
dcid:geoId/38,2020-08-12,P14D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/31,2020-08-13,P16D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,10.2
dcid:geoId/33,2020-08-11,P12D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,
dcid:geoId/34,2020-08-11,P11D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,22.3
dcid:geoId/35,2020-08-13,P15D,dcs:Percent_Years0To17_MedicalConditionIncident_COVID_19_Seroprevalence,3.1
