DescriptorId,ConceptID,ConceptName,DateCreated,DateRevised,DateEstablished,Concept_dcid,Descriptor_dcid
D000001,M0000001,Calcimycin,11/19/74,5/27/16,1/1/84,bio/M0000001,bio/D000001
D000001,M0353609,A-23187,,,,bio/M0353609,bio/D000001
D000002,M0000002,Temefos,1/1/99,7/8/13,1/1/91,bio/M0000002,bio/D000002
D000002,M0352201,Abate,,,,bio/M0352201,bio/D000002
D000002,M0352200,Difos,,,,bio/M0352200,bio/D000002
D000003,M0000003,Abattoirs,1/1/99,6/8/16,1/1/66,bio/M0000003,bio/D000003
D000004,M0000004,Abbreviations as Topic,1/1/99,6/30/17,1/1/60,bio/M0000004,bio/D000004
D000004,M0511063,Acronyms as Topic,,,,bio/M0511063,bio/D000004
D000005,M0000005,Abdomen,1/1/99,8/9/16,1/1/66,bio/M0000005,bio/D000005
D000006,M0000006,"Abdomen, Acute",1/1/99,6/20/17,1/1/66,bio/M0000006,bio/D000006
D000007,M0000007,Abdominal Injuries,1/1/99,6/25/10,1/1/66,bio/M0000007,bio/D000007
D000008,M0000008,Abdominal Neoplasms,1/1/99,11/24/15,1/1/66,bio/M0000008,bio/D000008
D000009,M0000009,Abdominal Muscles,1/1/99,5/31/16,1/1/93,bio/M0000009,bio/D000009
D000009,M000615276,Cremaster Muscle,,,,bio/M000615276,bio/D000009
D000009,M000615216,Pyramidalis Muscle,,,,bio/M000615216,bio/D000009
D000009,M000616776,Quadratus Abdominis,,,,bio/M000616776,bio/D000009
D000009,M000615203,Transversus Abdominis,,,,bio/M000615203,bio/D000009
D000010,M0000010,Abducens Nerve,1/1/99,6/20/14,1/1/66,bio/M0000010,bio/D000010
D000011,M0000011,Abelson murine leukemia virus,4/16/79,8/13/20,1/1/91,bio/M0000011,bio/D000011
D000012,M0000012,Abetalipoproteinemia,1/1/99,7/8/13,1/1/66,bio/M0000012,bio/D000012
D000013,M0000013,Congenital Abnormalities,1/1/99,1/16/20,1/1/08,bio/M0000013,bio/D000013
D000013,M000677226,Fetal Malformations,,,,bio/M000677226,bio/D000013
D000013,M000677225,Fetal Anomalies,,,,bio/M000677225,bio/D000013
D000014,M0000014,"Abnormalities, Drug-Induced",1/1/99,7/8/13,1/1/64,bio/M0000014,bio/D000014
D000015,M0000015,"Abnormalities, Multiple",1/1/99,12/1/15,1/1/68,bio/M0000015,bio/D000015
D000016,M0000016,"Abnormalities, Radiation-Induced",3/20/78,6/22/15,1/1/79,bio/M0000016,bio/D000016
D000017,M0000017,ABO Blood-Group System,7/25/75,6/30/05,1/1/76,bio/M0000017,bio/D000017
D000017,M0000019,Blood Group H Type 1 Antigen,,,,bio/M0000019,bio/D000017
D000017,M0000018,ABO Factors,,,,bio/M0000018,bio/D000017
D000018,M0000020,Abomasum,1/1/99,5/18/95,1/1/68,bio/M0000020,bio/D000018
D000019,M0000021,Abortifacient Agents,1/1/99,6/25/14,1/1/75,bio/M0000021,bio/D000019
D000019,M0556260,Abortifacient Effect,,,,bio/M0556260,bio/D000019
